FinancialYear,Month,ReportDate,Metric_name,SiteDesc,Business_Unit,Indicator_Code,Performance,Remarks
2015/2016,Dec,01/12/2015,Bed Occupancy (N),BARNET HOSPITAL,Barnet Hospital,BD001,0.972727273,ok
2015/2016,Dec,01/12/2015,Bed Occupancy (N),CHASE FARM HOSPITAL,Chase Farm Hospital,BD001,0.983850932,
2015/2016,Dec,01/12/2015,Bed Occupancy (N),Others,Others,BD001,0.983850932,
2015/2016,Dec,01/12/2015,Bed Occupancy (N),ROYAL FREE HOSPITAL,Royal Free Hospital,BD001,0.919813595,
2015/2016,Feb,01/02/2016,Bed Occupancy (N),BARNET HOSPITAL,Barnet Hospital,BD001,0.994627054,
2015/2016,Feb,01/02/2016,Bed Occupancy (N),CHASE FARM HOSPITAL,Chase Farm Hospital,BD001,0.981538462,
2015/2016,Feb,01/02/2016,Bed Occupancy (N),Others,Others,BD001,0.981538462,
2015/2016,Feb,01/02/2016,Bed Occupancy (N),ROYAL FREE HOSPITAL,Royal Free Hospital,BD001,0.971338912,
2015/2016,Jan,01/01/2016,Bed Occupancy (N),BARNET HOSPITAL,Barnet Hospital,BD001,0.995313415,
2015/2016,Jan,01/01/2016,Bed Occupancy (N),CHASE FARM HOSPITAL,Chase Farm Hospital,BD001,0.986499518,
2015/2016,Jan,01/01/2016,Bed Occupancy (N),Others,Others,BD001,0.986499518,
2015/2016,Jan,01/01/2016,Bed Occupancy (N),ROYAL FREE HOSPITAL,Royal Free Hospital,BD001,0.978167616,
2015/2016,Mar,01/03/2016,Bed Occupancy (N),BARNET HOSPITAL,Barnet Hospital,BD001,0.993712545,
2015/2016,Mar,01/03/2016,Bed Occupancy (N),CHASE FARM HOSPITAL,Chase Farm Hospital,BD001,0.977070064,
2015/2016,Mar,01/03/2016,Bed Occupancy (N),Others,Others,BD001,0.977070064,
2015/2016,Mar,01/03/2016,Bed Occupancy (N),ROYAL FREE HOSPITAL,Royal Free Hospital,BD001,0.962070733,
2015/2016,Apr,01/04/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Barnet Hospital,BD002,0.053333333,
2015/2016,Apr,01/04/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD002,0.25,
2015/2016,Apr,01/04/2015,Pre-procedure elective bed days,BARNET HOSPITAL,NA,BD002,0,
2015/2016,Apr,01/04/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD002,0.005221932,
2015/2016,Apr,01/04/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD002,0,
2015/2016,Apr,01/04/2015,Pre-procedure elective bed days,Others,NA,BD002,0,
2015/2016,Apr,01/04/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD002,0.422222222,
2015/2016,Apr,01/04/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD002,0.538793103,
2015/2016,Aug,01/08/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Barnet Hospital,BD002,0.053333333,
2015/2016,Aug,01/08/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Group Clinical Services,BD002,0,
2015/2016,Aug,01/08/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD002,0.166666667,
2015/2016,Aug,01/08/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD002,0.010676157,
2015/2016,Aug,01/08/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD002,0,
2015/2016,Aug,01/08/2015,Pre-procedure elective bed days,Others,Royal Free Hospital,BD002,0,
2015/2016,Aug,01/08/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD002,0.424778761,
2015/2016,Aug,01/08/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD002,0.628440367,
2015/2016,Dec,01/12/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Barnet Hospital,BD002,0.208955224,
2015/2016,Dec,01/12/2015,Pre-procedure elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD002,2,
2015/2016,Dec,01/12/2015,Pre-procedure elective bed days,BARNET HOSPITAL,NA,BD002,0,
2015/2016,Dec,01/12/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD002,0.188596491,
2015/2016,Dec,01/12/2015,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD002,0.126760563,
2015/2016,Dec,01/12/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD002,0.323809524,
2015/2016,Dec,01/12/2015,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD002,0.569789675,
2015/2016,Feb,01/02/2016,Pre-procedure elective bed days,BARNET HOSPITAL,Barnet Hospital,BD002,0.434210526,
2015/2016,Feb,01/02/2016,Pre-procedure elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD002,0.6,
2015/2016,Feb,01/02/2016,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD002,0.133574007,
2015/2016,Feb,01/02/2016,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD002,0.206521739,
2015/2016,Feb,01/02/2016,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Barnet Hospital,BD002,0.473684211,
2015/2016,Feb,01/02/2016,Pre-procedure elective bed days,ROYAL FREE HOSPITAL,Royal Free Hospital,BD002,0.603375527,
2015/2016,Jan,01/01/2016,Pre-procedure elective bed days,BARNET HOSPITAL,Barnet Hospital,BD002,0.28125,
2015/2016,Jan,01/01/2016,Pre-procedure elective bed days,BARNET HOSPITAL,Royal Free Hospital,BD002,3,
2015/2016,Jan,01/01/2016,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Barnet Hospital,BD002,0.168032787,
2015/2016,Jan,01/01/2016,Pre-procedure elective bed days,CHASE FARM HOSPITAL,Royal Free Hospital,BD002,0.183673469,
